Provinsi;Tahun;UMR/UMP
MALUKU UTARA;2021;2.721.530,00
PAPUA BARAT;2021;3.134.600,00
PAPUA;2021;3.516.700,00
INDONESIA;2021;2.687.723,69
ACEH;2022;3.166.460,00
SUMATERA UTARA;2022;2.522.609,94
SUMATERA BARAT;2022;2.512.539,00
RIAU;2022;2.938.564,01
JAMBI;2022;2.698.940,87
SUMATERA SELATAN;2022;3.144.446,00
BENGKULU;2022;2.238.094,31
LAMPUNG;2022;2.440.486,18
KEP. BANGKA BELITUNG;2022;3.264.884,00
KEP. RIAU;2022;3.050.172,00
DKI JAKARTA;2022;4.641.854,00
JAWA BARAT;2022;1.841.487,31
JAWA TENGAH;2022;1.812.935,43
DI YOGYAKARTA;2022;1.840.915,53
JAWA TIMUR;2022;1.891.567,12
BANTEN;2022;2.501.203,11
BALI;2022;2.516.971,00
NUSA TENGGARA BARAT;2022;2.207.212,00
NUSA TENGGARA TIMUR;2022;1.975.000,00
KALIMANTAN BARAT;2022;2.434.328,19
KALIMANTAN TENGAH;2022;2.922.516,00
KALIMANTAN SELATAN;2022;2.906.473,32
KALIMANTAN TIMUR;2022;3.014.497,22
KALIMANTAN UTARA;2022;3.016.738,00
SULAWESI UTARA;2022;3.310.723,00
SULAWESI TENGAH;2022;2.390.739,00
SULAWESI SELATAN;2022;3.165.876,00
SULAWESI TENGGARA;2022;2.576.016,96
GORONTALO;2022;2.800.580,00
SULAWESI BARAT;2022;2.678.863,10
MALUKU;2022;2.619.312,83
MALUKU UTARA;2022;2.862.231,00
PAPUA BARAT;2022;3.200.000,00
PAPUA;2022;3.561.932,00
INDONESIA;2022;2.725.504,95
